"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-01","0.00","0.0","0.0",,"42","30","    1",,,,,,,"    1",,,"    1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-02","0.50","0.0","0.0",,"45","34","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-03","0.98","0.0","0.0",,"42","34","    1",,,"    1",,,,,,,"    1",,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-04","0.00","0.0","0.0",,"39","28","    1",,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-05","0.04","0.0","0.0",,"51","35","    1",,,,,,,"    1",,,"    1","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-06","0.00","0.0","0.0",,"41","29",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-07","0.00","0.0","0.0",,"34","24",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-08","0.00","0.0","0.0",,"45","33",,,,,,,,,,,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-09","0.00","0.0","0.0",,"58","41",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-10","0.00","0.0","0.0",,"49","37",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-11","0.14","0.0","0.0",,"53","35","    1","    1",,,,,,,,,"    1","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-12","0.00","0.0","0.0",,"54","40","    1",,,,,,,,,,"    1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-13","0.07","0.0","0.0",,"52","38","    1","    1",,,,,,,,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-14","1.01","0.0","0.0",,"55","33","    1","    1","    1",,,,,,,,,,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-15","0.19","2.1","2.0",,"33","14","    1","    1",,,,,,,"    1",,,,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-16","0.00","0.0","2.0",,"31","14",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-17","0.08","0.0","2.0",,"44","21","    1",,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-18","0.45","0.0","0.0",,"57","36","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-19","0.00","0.0","0.0",,"45","33",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-20","0.00","0.0","0.0",,"56","36",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-21","0.00","0.0","0.0",,"61","37",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-22","0.00","0.0","0.0",,"43","29",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-23","0.73","0.0","0.0",,"42","37","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-24","0.00","0.0","0.0",,"43","31","    1",,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-25","0.02","0.0","0.0",,"45","33","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-26","0.00","0.0","0.0",,"37","25",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-27","0.00","0.0","0.0",,"41","22",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-28","0.00","0.0","0.0",,"55","32",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-29","0.09","0.0","0.0",,"47","34","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-30","0.00","0.0","0.0",,"62","39","    1",,,,,,,"    1",,,"    1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-01-31","0.06","0.0","0.0",,"42","38","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-02-01","0.00","0.0","0.0",,"44","34",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-02-02","0.00","0.0","0.0",,"48","32",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-02-03","0.47","0.0","0.0",,"61","43","    1","    1",,,,,,,,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-02-04","0.29","0.0","0.0",,"54","38","    1",,,,,,,"    1",,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-02-05","0.16","0.0","0.0",,"54","37","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2006-02-06","0.00","0.0","0.0",,"40","34",,,,,,,,,,,,,,,,,,,
